ICD-10-WHO_Code,Description,Last_Updated
A00,,2020-10-13
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",2020-10-13
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",2020-10-13
A009,"Cholera, unspecified",2020-10-13
A01,,2020-10-13
A010,Typhoid fever,2020-10-13
A011,Paratyphoid fever A,2020-10-13
A012,Paratyphoid fever B,2020-10-13
A013,Paratyphoid fever C,2020-10-13
A014,"Paratyphoid fever, unspecified",2020-10-13
A02,,2020-10-13
A020,Salmonella enteritis,2020-10-13
A021,Salmonella sepsis,2020-10-13
A022,Localized salmonella infections,2020-10-13
A028,Other specified salmonella infections,2020-10-13
A029,"Salmonella infection, unspecified",2020-10-13
A03,,2020-10-13
A030,Shigellosis due to Shigella dysenteriae,2020-10-13
A031,Shigellosis due to Shigella flexneri,2020-10-13
A032,Shigellosis due to Shigella boydii,2020-10-13
A033,Shigellosis due to Shigella sonnei,2020-10-13
A038,Other shigellosis,2020-10-13
A039,"Shigellosis, unspecified",2020-10-13
A04,,2020-10-13
A040,Enteropathogenic Escherichia coli infection,2020-10-13
A041,Enterotoxigenic Escherichia coli infection,2020-10-13
A042,Enteroinvasive Escherichia coli infection,2020-10-13
A043,Enterohaemorrhagic Escherichia coli infection,2020-10-13
A044,Other intestinal Escherichia coli infections,2020-10-13
A045,Campylobacter enteritis,2020-10-13
A046,Enteritis due to Yersinia enterocolitica,2020-10-13
A047,Enterocolitis due to Clostridium difficile,2020-10-13
A048,Other specified bacterial intestinal infections,2020-10-13
A049,"Bacterial intestinal infection, unspecified",2020-10-13
A05,,2020-10-13
A050,Foodborne staphylococcal intoxication,2020-10-13
A051,Botulism,2020-10-13
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2020-10-13
A053,Foodborne Vibrio parahaemolyticus intoxication,2020-10-13
A054,Foodborne Bacillus cereus intoxication,2020-10-13
A058,Other specified bacterial foodborne intoxications,2020-10-13
A059,"Bacterial foodborne intoxication, unspecified",2020-10-13
A06,,2020-10-13
A060,Acute amoebic dysentery,2020-10-13
A061,Chronic intestinal amoebiasis,2020-10-13
A062,Amoebic nondysenteric colitis,2020-10-13
A063,Amoeboma of intestine,2020-10-13
A064,Amoebic liver abscess,2020-10-13
A065,Amoebic lung abscess,2020-10-13
A066,Amoebic brain abscess,2020-10-13
A067,Cutaneous amoebiasis,2020-10-13
A068,Amoebic infection of other sites,2020-10-13
A069,"Amoebiasis, unspecified",2020-10-13
A07,,2020-10-13
A070,Balantidiasis,2020-10-13
A071,Giardiasis [lambliasis],2020-10-13
A072,Cryptosporidiosis,2020-10-13
A073,Isosporiasis,2020-10-13
A078,Other specified protozoal intestinal diseases,2020-10-13
A079,"Protozoal intestinal disease, unspecified",2020-10-13
A08,,2020-10-13
A080,Rotaviral enteritis,2020-10-13
A081,Acute gastroenteropathy due to Norovirus,2020-10-13
A082,Adenoviral enteritis,2020-10-13
A083,Other viral enteritis,2020-10-13
A084,"Viral intestinal infection, unspecified",2020-10-13
A085,Other specified intestinal infections,2020-10-13
A09,,2020-10-13
A090,Other and unspecified gastroenteritis and colitis of infectious origin,2020-10-13
A099,Gastroenteritis and colitis of unspecified origin,2020-10-13
A15,,2020-10-13
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",2020-10-13
A151,"Tuberculosis of lung, confirmed by culture only",2020-10-13
A152,"Tuberculosis of lung, confirmed histologically",2020-10-13
A153,"Tuberculosis of lung, confirmed by unspecified means",2020-10-13
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",2020-10-13
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",2020-10-13
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically",2020-10-13
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",2020-10-13
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",2020-10-13
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",2020-10-13
A16,,2020-10-13
A160,"Tuberculosis of lung, bacteriologically and histologically negative",2020-10-13
A161,"Tuberculosis of lung, bacteriological and histological examination not done",2020-10-13
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2020-10-13
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",2020-10-13
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",2020-10-13
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",2020-10-13
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2020-10-13
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",2020-10-13
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",2020-10-13
A17,,2020-10-13
A170,Tuberculous meningitis,2020-10-13
A171,Meningeal tuberculoma,2020-10-13
A178,Other tuberculosis of nervous system,2020-10-13
A179,"Tuberculosis of nervous system, unspecified",2020-10-13
A18,,2020-10-13
A180,Tuberculosis of bones and joints,2020-10-13
A181,Tuberculosis of genitourinary system,2020-10-13
A182,Tuberculous peripheral lymphadenopathy,2020-10-13
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",2020-10-13
A184,Tuberculosis of skin and subcutaneous tissue,2020-10-13
A185,Tuberculosis of eye,2020-10-13
A186,Tuberculosis of ear,2020-10-13
A187,Tuberculosis of adrenal glands,2020-10-13
A188,Tuberculosis of other specified organs,2020-10-13
A19,,2020-10-13
A190,Acute miliary tuberculosis of a single specified site,2020-10-13
A191,Acute miliary tuberculosis of multiple sites,2020-10-13
A192,"Acute miliary tuberculosis, unspecified",2020-10-13
A198,Other miliary tuberculosis,2020-10-13
A199,"Miliary tuberculosis, unspecified",2020-10-13
A20,,2020-10-13
A200,Bubonic plague,2020-10-13
A201,Cellulocutaneous plague,2020-10-13
A202,Pneumonic plague,2020-10-13
A203,Plague meningitis,2020-10-13
A207,Septicaemic plague,2020-10-13
A208,Other forms of plague,2020-10-13
A209,"Plague, unspecified",2020-10-13
A21,,2020-10-13
A210,Ulceroglandular tularaemia,2020-10-13
A211,Oculoglandular tularaemia,2020-10-13
A212,Pulmonary tularaemia,2020-10-13
A213,Gastrointestinal tularaemia,2020-10-13
A217,Generalized tularaemia,2020-10-13
A218,Other forms of tularaemia,2020-10-13
A219,"Tularaemia, unspecified",2020-10-13
A22,,2020-10-13
A220,Cutaneous anthrax,2020-10-13
A221,Pulmonary anthrax,2020-10-13
A222,Gastrointestinal anthrax,2020-10-13
A227,Anthrax sepsis,2020-10-13
A228,Other forms of anthrax,2020-10-13
A229,"Anthrax, unspecified",2020-10-13
A23,,2020-10-13
A230,Brucellosis due to Brucella melitensis,2020-10-13
A231,Brucellosis due to Brucella abortus,2020-10-13
A232,Brucellosis due to Brucella suis,2020-10-13
A233,Brucellosis due to Brucella canis,2020-10-13
A238,Other brucellosis,2020-10-13
A239,"Brucellosis, unspecified",2020-10-13
A24,,2020-10-13
A240,Glanders,2020-10-13
A241,Acute and fulminating melioidosis,2020-10-13
A242,Subacute and chronic melioidosis,2020-10-13
A243,Other melioidosis,2020-10-13
A244,"Melioidosis, unspecified",2020-10-13
A25,,2020-10-13
A250,Spirillosis,2020-10-13
A251,Streptobacillosis,2020-10-13
A259,"Rat-bite fever, unspecified",2020-10-13
A26,,2020-10-13
A260,Cutaneous erysipeloid,2020-10-13
A267,Erysipelothrix sepsis,2020-10-13
A268,Other forms of erysipeloid,2020-10-13
A269,"Erysipeloid, unspecified",2020-10-13
A27,,2020-10-13
A270,Leptospirosis icterohaemorrhagica,2020-10-13
A278,Other forms of leptospirosis,2020-10-13
A279,"Leptospirosis, unspecified",2020-10-13
A28,,2020-10-13
A280,Pasteurellosis,2020-10-13
A281,Cat-scratch disease,2020-10-13
A282,Extraintestinal yersiniosis,2020-10-13
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",2020-10-13
A289,"Zoonotic bacterial disease, unspecified",2020-10-13
A30,,2020-10-13
A300,Indeterminate leprosy,2020-10-13
A301,Tuberculoid leprosy,2020-10-13
A302,Borderline tuberculoid leprosy,2020-10-13
A303,Borderline leprosy,2020-10-13
A304,Borderline lepromatous leprosy,2020-10-13
A305,Lepromatous leprosy,2020-10-13
A308,Other forms of leprosy,2020-10-13
A309,"Leprosy, unspecified",2020-10-13
A31,,2020-10-13
A310,Pulmonary mycobacterial infection,2020-10-13
A311,Cutaneous mycobacterial infection,2020-10-13
A318,Other mycobacterial infections,2020-10-13
A319,"Mycobacterial infection, unspecified",2020-10-13
A32,,2020-10-13
A320,Cutaneous listeriosis,2020-10-13
A321,Listerial meningitis and meningoencephalitis,2020-10-13
A327,Listerial sepsis,2020-10-13
A328,Other forms of listeriosis,2020-10-13
A329,"Listeriosis, unspecified",2020-10-13
A33,,2020-10-13
A34,,2020-10-13
A35,,2020-10-13
A36,,2020-10-13
A360,Pharyngeal diphtheria,2020-10-13
A361,Nasopharyngeal diphtheria,2020-10-13
A362,Laryngeal diphtheria,2020-10-13
A363,Cutaneous diphtheria,2020-10-13
A368,Other diphtheria,2020-10-13
A369,"Diphtheria, unspecified",2020-10-13
A37,,2020-10-13
A370,Whooping cough due to Bordetella pertussis,2020-10-13
A371,Whooping cough due to Bordetella parapertussis,2020-10-13
A378,Whooping cough due to other Bordetella species,2020-10-13
A379,"Whooping cough, unspecified",2020-10-13
A38,,2020-10-13
A39,,2020-10-13
A390,Meningococcal meningitis,2020-10-13
A391,Waterhouse-Friderichsen syndrome,2020-10-13
A392,Acute meningococcaemia,2020-10-13
A393,Chronic meningococcaemia,2020-10-13
A394,"Meningococcaemia, unspecified",2020-10-13
A395,Meningococcal heart disease,2020-10-13
A398,Other meningococcal infections,2020-10-13
A399,"Meningococcal infection, unspecified",2020-10-13
A40,,2020-10-13
A400,"Sepsis due to streptococcus, group A",2020-10-13
A401,"Sepsis due to streptococcus, group B",2020-10-13
A402,"Sepsis due to streptococcus, group D and enterococcus",2020-10-13
A403,Sepsis due to Streptococcus pneumoniae,2020-10-13
A408,Other streptococcal sepsis,2020-10-13
A409,"Streptococcal sepsis, unspecified",2020-10-13
A41,,2020-10-13
A410,Sepsis due to Staphylococcus aureus,2020-10-13
A411,Sepsis due to other specified staphylococcus,2020-10-13
A412,Sepsis due to unspecified staphylococcus,2020-10-13
A413,Sepsis due to Haemophilus influenzae,2020-10-13
A414,Sepsis due to anaerobes,2020-10-13
A415,Sepsis due to other Gram-negative organisms,2020-10-13
A418,Other specified sepsis,2020-10-13
A419,"Sepsis, unspecified",2020-10-13
A42,,2020-10-13
A420,Pulmonary actinomycosis,2020-10-13
A421,Abdominal actinomycosis,2020-10-13
A422,Cervicofacial actinomycosis,2020-10-13
A427,Actinomycotic sepsis,2020-10-13
A428,Other forms of actinomycosis,2020-10-13
A429,"Actinomycosis, unspecified",2020-10-13
A43,,2020-10-13
A430,Pulmonary nocardiosis,2020-10-13
A431,Cutaneous nocardiosis,2020-10-13
A438,Other forms of nocardiosis,2020-10-13
A439,"Nocardiosis, unspecified",2020-10-13
A44,,2020-10-13
A440,Systemic bartonellosis,2020-10-13
A441,Cutaneous and mucocutaneous bartonellosis,2020-10-13
A448,Other forms of bartonellosis,2020-10-13
A449,"Bartonellosis, unspecified",2020-10-13
A46,,2020-10-13
A48,,2020-10-13
A480,Gas gangrene,2020-10-13
A481,Legionnaires disease,2020-10-13
A482,Nonpneumonic Legionnaires disease [Pontiac fever],2020-10-13
A483,Toxic shock syndrome,2020-10-13
A484,Brazilian purpuric fever,2020-10-13
A488,Other specified bacterial diseases,2020-10-13
A49,,2020-10-13
A490,"Staphylococcal infection, unspecified site",2020-10-13
A491,"Streptococcal and enterococcal infection, unspecified site",2020-10-13
A492,"Haemophilus influenzae infection, unspecified site",2020-10-13
A493,"Mycoplasma infection, unspecified site",2020-10-13
A498,Other bacterial infections of unspecified site,2020-10-13
A499,"Bacterial infection, unspecified",2020-10-13
A50,,2020-10-13
A500,"Early congenital syphilis, symptomatic",2020-10-13
A501,"Early congenital syphilis, latent",2020-10-13
A502,"Early congenital syphilis, unspecified",2020-10-13
A503,Late congenital syphilitic oculopathy,2020-10-13
A504,Late congenital neurosyphilis [juvenile neurosyphilis],2020-10-13
A505,"Other late congenital syphilis, symptomatic",2020-10-13
A506,"Late congenital syphilis, latent",2020-10-13
A507,"Late congenital syphilis, unspecified",2020-10-13
A509,"Congenital syphilis, unspecified",2020-10-13
A51,,2020-10-13
A510,Primary genital syphilis,2020-10-13
A511,Primary anal syphilis,2020-10-13
A512,Primary syphilis of other sites,2020-10-13
A513,Secondary syphilis of skin and mucous membranes,2020-10-13
A514,Other secondary syphilis,2020-10-13
A515,"Early syphilis, latent",2020-10-13
